Species,ClusterID,Percentage
black tailed deer,21,20.0
black tailed deer,22,20.0
black tailed deer,56,20.0
black tailed deer,250,20.0
black tailed deer,311,20.0
buffalo,1,0.46875
buffalo,2,0.46875
buffalo,4,2.96875
buffalo,5,0.3125
buffalo,6,0.15625
buffalo,7,1.875
buffalo,8,0.46875
buffalo,9,2.65625
buffalo,11,0.3125
buffalo,12,0.15625
buffalo,13,0.46875
buffalo,14,0.15625
buffalo,15,0.15625
buffalo,17,4.21875
buffalo,18,0.3125
buffalo,21,0.46875
buffalo,22,0.15625
buffalo,23,0.15625
buffalo,24,0.15625
buffalo,25,1.25
buffalo,27,0.3125
buffalo,29,0.15625
buffalo,30,0.46875
buffalo,32,0.3125
buffalo,34,0.78125
buffalo,35,0.78125
buffalo,37,0.9375
buffalo,38,0.625
buffalo,39,0.46875
buffalo,42,0.15625
buffalo,43,2.8125
buffalo,46,0.15625
buffalo,47,0.3125
buffalo,49,2.34375
buffalo,51,0.9375
buffalo,52,0.3125
buffalo,53,0.78125
buffalo,56,2.8125
buffalo,58,0.3125
buffalo,59,0.3125
buffalo,60,0.625
buffalo,62,0.3125
buffalo,63,0.3125
buffalo,64,0.15625
buffalo,65,0.15625
buffalo,66,0.3125
buffalo,67,0.46875
buffalo,68,0.3125
buffalo,69,0.15625
buffalo,70,0.625
buffalo,71,0.3125
buffalo,72,0.15625
buffalo,74,0.15625
buffalo,75,0.3125
buffalo,76,0.46875
buffalo,77,0.15625
buffalo,78,0.15625
buffalo,79,0.3125
buffalo,80,0.15625
buffalo,81,0.15625
buffalo,82,0.15625
buffalo,83,0.15625
buffalo,86,4.84375
buffalo,87,1.25
buffalo,90,0.15625
buffalo,91,0.3125
buffalo,92,0.3125
buffalo,95,1.09375
buffalo,100,0.15625
buffalo,101,0.15625
buffalo,102,3.125
buffalo,104,0.3125
buffalo,105,0.625
buffalo,106,0.15625
buffalo,109,0.3125
buffalo,110,0.3125
buffalo,111,0.15625
buffalo,112,0.15625
buffalo,114,0.15625
buffalo,115,0.3125
buffalo,117,0.15625
buffalo,121,0.15625
buffalo,128,0.3125
buffalo,130,0.3125
buffalo,138,0.3125
buffalo,139,0.15625
buffalo,140,0.15625
buffalo,144,0.15625
buffalo,145,0.15625
buffalo,146,0.3125
buffalo,147,0.3125
buffalo,148,0.46875
buffalo,149,0.46875
buffalo,150,0.3125
buffalo,152,0.46875
buffalo,155,0.3125
buffalo,156,0.15625
buffalo,159,0.15625
buffalo,160,0.46875
buffalo,161,0.46875
buffalo,166,0.15625
buffalo,168,0.46875
buffalo,174,0.3125
buffalo,175,6.71875
buffalo,176,0.15625
buffalo,178,0.15625
buffalo,179,0.15625
buffalo,184,0.3125
buffalo,185,4.0625
buffalo,188,0.625
buffalo,190,0.15625
buffalo,192,0.15625
buffalo,193,0.46875
buffalo,194,0.15625
buffalo,195,0.625
buffalo,196,0.3125
buffalo,199,0.15625
buffalo,201,0.15625
buffalo,206,0.15625
buffalo,207,0.15625
buffalo,210,0.15625
buffalo,213,0.15625
buffalo,220,0.15625
buffalo,221,0.15625
buffalo,222,0.3125
buffalo,230,0.15625
buffalo,232,0.15625
buffalo,233,0.15625
buffalo,236,0.15625
buffalo,239,0.15625
buffalo,242,0.15625
buffalo,245,0.15625
buffalo,248,0.15625
buffalo,251,0.15625
buffalo,254,0.15625
buffalo,256,0.15625
buffalo,257,0.625
buffalo,261,0.46875
buffalo,266,3.125
buffalo,268,1.875
buffalo,271,0.15625
buffalo,276,0.15625
buffalo,282,0.15625
buffalo,283,0.15625
buffalo,289,0.15625
buffalo,291,0.15625
buffalo,293,0.15625
buffalo,294,0.15625
buffalo,299,0.15625
buffalo,300,0.15625
buffalo,301,0.15625
buffalo,304,0.15625
buffalo,307,0.46875
buffalo,309,0.3125
buffalo,311,0.15625
buffalo,312,2.96875
buffalo,315,0.15625
buffalo,316,1.7187500000000002
buffalo,321,0.3125
buffalo,322,0.15625
buffalo,324,0.15625
buffalo,328,0.15625
buffalo,331,0.15625
buffalo,343,0.15625
buffalo,346,0.46875
buffalo,355,0.15625
buffalo,359,0.15625
buffalo,361,0.15625
