original,corrected,canonical,cluster_id
abdminal pain,abdominal pain,abdominal pain,149
abdominal destention,abdominal detention,abdominal detention,149
abdominal discomfort,abdominal discomfort,abdominal discomfort,149
abdominal pain,abdominal pain,abdominal pain,149
abdonormal discomfort,abnormal discomfort,abnormal discomfort,132
abdonormal pain,abnormal pain,abnormal pain,132
abnormal behaviour,abnormal behaviour,abnormal behaviour,342
abnormal conformation,abnormal conformation,abnormal conformation,147
abnormalalities,abnormalities,abnormality,192
abnormalities,abnormalities,abnormality,192
abnormally long leg,abnormally long leg,abnormally long leg,154
abortion,abortion,abortion,76
abortion at the end of gestation,abortion at the end of gestation,abortion at the end of gestation,76
abortion on late pregancy,abortion on late pregnancy,abortion on late pregnancy,76
abscessess,abscesses,abscess,350
achomotrica,echo monica,echo monica,263
acting aggressive,acting aggressive,acting aggressive,116
acting unnaturally tame,acting unnaturally tame,acting unnaturally tame,258
agalactia,galactic,galactic,203
aggressiveness,aggressiveness,aggressiveness,116
air sacculitis,air sac colitis,air sac colitis,402
allergic reaction,allergic reaction,allergic reaction,368
anaemia,anaemia,anemia,422
aneamia,anaemia,anemia,422
anemia,anaemia,anemia,422
animal become lame,animal become lame,animal become lame,349
animal gets uneasy,animal gets uneasy,animal gets uneasy,360
animal stop feed,animal stop feed,animal stop feed,252
anorexia,anorexia,anorexia,56
anoxeria,anorexia,anorexia,56
anversion to light,a version to light,a version to light,305
apathy,apathy,apathy,156
appetite,appetite,appetite,4
appetite varies,appetite varies,appetite varies,4
arthritis,arthritis,arthritis,55
asymptomatic,asymptomatic,asymptomatic,117
ataxia,ataxia,ataxia,56
attack,attack,attack,409
attacks,attacks,attack,409
attempt to urinate,attempt to urinate,attempt to urinate,0
aversion to light,aversion to light,aversion to light,362
back pain,back pain,back pain,82
bad breath,bad breath,bad breath,172
bad smell,bad smell,bad smell,142
balance problem,balance problem,balance problem,232
bald patches,bald patches,bald patches,89
barren ewes,barren ewes,barren ewes,245
beak overgrowth,beak overgrowth,beak overgrowth,150
behaviour change,behaviour change,behaviour change,48
berberi,berber,Berber,239
bite other animals,bite other animals,bite other animals,357
black on ear,black on ear,black on ear,423
black stool,black stool,black stool,5
bleeding from other parts of the body,bleeding from other parts of the body,bleeding from other parts of the body,99
bleeding from the nose,bleeding from the nose,bleeding from the nose,152
bleeding from wounds,bleeding from wounds,bleeding from wounds,99
bleeding in eye and skin,bleeding in eye and skin,bleeding in eye and skin,99
bleeding wounds,bleeding wounds,bleeding wounds,99
blindness,blindness,blindness,184
blister,blister,blister,218
blood clots,blood clots,blood clots,27
blood from mouth,blood from mouth,blood from mouth,27
blood in faces,blood in faces,blood in faces,27
blood in stool,blood in stool,blood in stool,27
blood in urine,blood in urine,blood in urine,27
blood on faces,blood on faces,blood on faces,27
blood poisioning,blood poisoning,blood poisoning,27
blood stool,blood stool,blood stool,27
bloody,bloody,bloody,261
bloody diarhhea,bloody diarrhoea,bloody diarrhoea,17
bloody diarrhea,bloody diarrhoea,bloody diarrhoea,17
bloody discharge,bloody discharge,bloody discharge,27
bloody drool,bloody drool,bloody drool,419
bloody droping,bloody dropping,bloody dropping,74
bloody in feather,bloody in feather,bloody in feather,261
bloody urine,bloody urine,bloody urine,27
blooody fluid,bloody fluid,bloody fluid,27
blue colored lip,blue coloured lip,blue coloured lip,400
blue eye,blue eye,blue eye,62
blue straws,blue straws,blue straws,64
bluish white opacity,bluish white opacity,bluish white opacity,286
blurry vision,blurry vision,blurry vision,12
body stiffness,body stiffness,body stiffness,140
bony lesion,bony lesion,bony lesion,18
bottle jaw,bottle jaw,bottle jaw,183
broken bones,broken bones,broken bones,230
broody behavior,broody behavior,broody behavior,163
bubbles in the mouth,bubbles in the mouth,bubbles in the mouth,388
bumps black grey or red,bumps black grey or red,bumps black grey or red,24
burning ache or pain,burning ache or pain,burning ache or pain,434
carcass decomposes,carcass decomposes,carcass decomposes,303
cell damage,cell damage,cell damage,211
cessation of eructation,cessation of education,cessation of education,322
change in gait,change in gait,change in gait,84
change in milk,change in milk,change in milk,73
change their normal behaviour,change their normal behaviour,change their normal behaviour,48
changed gait,changed gait,changed gait,84
changes in outer layer skin,changes in outer layer skin,changes in outer layer skin,110
chest pain,chest pain,chest pain,430
chewing,chewing,chew,377
chills,chills,chill,359
chirping,chirping,peep,122
chronic eye inflamation,chronic eye inflammation,chronic eye inflammation,1
circling,circling,circle,207
clearly unthrifty,clearly thrifty,clearly thrifty,61
cloacal pasting,cloaca pasting,cloaca pasting,121
closed eyes,closed eyes,closed eyes,160
clouded cornea,clouded cornea,clouded cornea,176
clubbed feather,clubbed feather,clubbed feather,188
colic,colic,colic,58
confusion,confusion,confusion,278
congestion,congestion,congestion,307
conjuctivtis,conjunctivitis,conjunctivitis,1
conjunctive,conjunctive,conjunction,125
consistency of milk,consistency of milk,consistency of milk,73
constant pacing,constant pacing,constant pacing,356
constipation,constipation,constipation,212
continuous loss of weight,continuous loss of weight,continuous loss of weight,185
convulsion,convulsion,paroxysm,168
cornea become cloudy,cornea become cloudy,cornea become cloudy,176
corneal ulceration,corneal ulceration,corneal ulceration,1
cough,cough,cough,86
coughing,coughing,cough,86
cramps,cramps,spasm,98
crusting of the skin,crusting of the skin,crusting of the skin,110
crusty,crusty,crusted,57
crusty eye lashes and matting of eyelashes,crusty eye lashes and matting of eyelashes,crusty eye lashes and matting of eyelashes,243
dandruff,dandruff,dandruff,112
dandruff in cat coat,dandruff in cat coat,dandruff in cat coat,112
dark colored bloody,dark coloured bloody,dark coloured bloody,151
dark or black face,dark or black face,dark or black face,264
darkened skin,darkened skin,darkened skin,77
deability,debility,infirmity,52
death,death,death,25
death of lamb,death of lamb,death of lamb,220
decrease appetite,decrease appetite,decrease appetite,4
decrease in milk production,decrease in milk production,decrease in milk production,97
decreased appetite,decreased appetite,decreased appetite,4
decreased eyelid,decreased eyelid,decreased eyelid,20
decreased growth of bone,decreased growth of bone,decreased growth of bone,29
decreased milk,decreased milk,decreased milk,97
decreased stool production,decreased stool production,decreased stool production,5
decresed egg production,decreased egg production,decreased egg production,104
defienciency in vitamin,deficiency in vitamin,deficiency in vitamin,23
dehydration,dehydration,dehydration,35
dejection,dejection,dejection,222
depression,depression,depression,43
despression,depression,depression,43
diarrhea,diarrhoea,diarrhea,17
diarrhea with muscus,diarrhoea with mucus,diarrhoea with mucus,17
diarrhoea,diarrhoea,diarrhea,17
diffculty breathing,difficulty breathing,difficulty breathing,9
difficult in respiration,difficult in respiration,difficult in respiration,9
difficult in walking,difficult in walking,difficult in walking,90
difficultty in breathing,difficulty in breathing,difficulty in breathing,9
difficulty breathing,difficulty breathing,difficulty breathing,9
difficulty breating,difficulty creating,difficulty creating,113
difficulty diagnosis,difficulty diagnosis,difficulty diagnosis,284
difficulty in breathing,difficulty in breathing,difficulty in breathing,9
difficulty in feeding,difficulty in feeding,difficulty in feeding,2
difficulty in rising,difficulty in rising,difficulty in rising,169
difficulty in swallowing,difficulty in swallowing,difficulty in swallowing,2
difficulty in walk,difficulty in walk,difficulty in walk,90
difficulty in walking,difficulty in walking,difficulty in walking,90
difficulty moving and eating,difficulty moving and eating,difficulty moving and eating,2
difficulty swallowing,difficulty swallowing,difficulty swallowing,2
difficulty walking,difficulty walking,difficulty walking,90
diffulty chewing,difficulty chewing,difficulty chewing,2
diffulty swallowing,difficulty swallowing,difficulty swallowing,2
diffuse,diffuse,diffuse,318
dilation of duodenum,dilation of duodenum,dilation of duodenum,300
diphtherictic,diphtheria tic,diphtheria tic,221
dirty,dirty,dirty,238
discharge,discharge,discharge,105
discharge from ear,discharge from ear,discharge from ear,105
discharge from eye,discharge from eye,discharge from eye,105
discharge from eyes,discharge from eyes,discharge from eyes,105
discomfort,discomfort,discomfort,45
disharge from affected eye,discharge from affected eye,discharge from affected eye,105
distended chest,distended chest,distended chest,153
distended stomach,distended stomach,distended stomach,153
distinctive bumps,distinctive bumps,distinctive bumps,24
distress,distress,distress,43
dizzines,dizziness,dizziness,294
dizziness,dizziness,dizziness,294
dizziness and fainting,dizziness and fainting,dizziness and fainting,294
dribbling of saliva,dribbling of saliva,dribbling of saliva,21
drinking polluted water,drinking polluted water,drinking polluted water,253
drooling,drooling,salivate,21
droopiness,droop ness,droop ness,42
drooping ears,drooping ears,drooping ears,15
drooping wings,drooping wings,drooping wings,42
