sampler,model,train_size,train_f1,valid_f1
smote_tomek,random_forest,62,0.697560975609756,0.4001515018572139
smote_tomek,random_forest,125,0.8995983935742972,0.4001515018572139
smote_tomek,random_forest,188,0.7311871121283496,0.40423218512209164
smote_tomek,random_forest,250,0.8198082773596027,0.5387915521674287
smote_tomek,random_forest,313,0.8664083076020462,0.5551482956081939
smote_tomek,random_forest,376,0.8355799179655253,0.6137145461762314
smote_tomek,random_forest,438,0.7595079759197416,0.7333781509295466
smote_tomek,random_forest,501,0.8494327170736563,0.8965932168112248
smote_tomek,random_forest,564,0.8708906107202316,0.8698379999455634
smote_tomek,random_forest,627,0.8783467634832128,0.8558537231434237
smote_tomek,logistic_regression,62,,
smote_tomek,logistic_regression,125,,
smote_tomek,logistic_regression,188,0.9797304582210243,0.4369750501329575
smote_tomek,logistic_regression,250,1.0,0.45558015220591513
smote_tomek,logistic_regression,313,0.9585788022736648,0.4816480948070175
smote_tomek,logistic_regression,376,0.954267192338842,0.4809317819660916
smote_tomek,logistic_regression,438,0.9446652434378263,0.7929474667556367
smote_tomek,logistic_regression,501,0.9733845357055712,0.9077786192501549
smote_tomek,logistic_regression,564,0.9835543134514765,0.9074354408987484
smote_tomek,logistic_regression,627,0.9864592618446784,0.9012242873417879
smote_tomek,decision_tree,62,1.0,0.4750983767785567
smote_tomek,decision_tree,125,1.0,0.5724202290571325
smote_tomek,decision_tree,188,0.7051559827861226,0.6503341326967828
smote_tomek,decision_tree,250,0.9041340231380991,0.4399093781742208
smote_tomek,decision_tree,313,0.6520025033036743,0.529708402180053
smote_tomek,decision_tree,376,0.6643409800958328,0.6047319800070465
smote_tomek,decision_tree,438,0.7323915898493129,0.7276334032310257
smote_tomek,decision_tree,501,0.664482270700567,0.7626748217985964
smote_tomek,decision_tree,564,0.7316785387706417,0.7626748217985964
smote_tomek,decision_tree,627,0.8009199208712751,0.7983515547739051
smote_tomek,knn,62,0.5967479674796748,0.4001515018572139
smote_tomek,knn,125,0.5983935742971888,0.4001515018572139
smote_tomek,knn,188,0.4967871428366618,0.4001515018572139
smote_tomek,knn,250,0.4959652883282887,0.4001515018572139
smote_tomek,knn,313,0.4946698461422751,0.4001515018572139
smote_tomek,knn,376,0.495164165372894,0.4001515018572139
smote_tomek,knn,438,0.6737894469095533,0.7173169764284774
smote_tomek,knn,501,0.6484827269077773,0.6382110192045517
smote_tomek,knn,564,0.706503660757926,0.629197752955699
smote_tomek,knn,627,0.7390615644206483,0.6199332513956581
smote_tomek,svm,62,,
smote_tomek,svm,125,,
smote_tomek,svm,188,1.0,0.4392892339136911
smote_tomek,svm,250,1.0,0.4580660591483558
smote_tomek,svm,313,1.0,0.483426900664487
smote_tomek,svm,376,1.0,0.4835238824941472
smote_tomek,svm,438,0.8495430202330697,0.9521036860259636
smote_tomek,svm,501,0.948073675357417,0.9548853172653813
smote_tomek,svm,564,0.9694483941326866,0.9662585925626376
smote_tomek,svm,627,0.9811698488959063,0.9731366261024823
random_over_under,random_forest,41,1.0,0.3333306458114972
random_over_under,random_forest,83,1.0,0.3333306458114972
random_over_under,random_forest,125,1.0,0.3333306458114972
random_over_under,random_forest,166,1.0,0.3333306458114972
random_over_under,random_forest,208,1.0,0.3333306458114972
random_over_under,random_forest,250,0.9052251015582258,0.9230792375888341
random_over_under,random_forest,291,0.9433430404053672,0.946307089712195
random_over_under,random_forest,333,0.9427623871949523,0.9443967974283792
random_over_under,random_forest,375,0.94115626040401,0.9248157119530866
random_over_under,random_forest,417,0.9302094347726342,0.9231410349395308
random_over_under,logistic_regression,41,,
random_over_under,logistic_regression,83,,
random_over_under,logistic_regression,125,,
random_over_under,logistic_regression,166,,
random_over_under,logistic_regression,208,,
random_over_under,logistic_regression,250,1.0,0.5414457396955092
random_over_under,logistic_regression,291,1.0,0.7809763608922715
random_over_under,logistic_regression,333,1.0,0.8771926381663407
random_over_under,logistic_regression,375,1.0,0.9383211224147662
random_over_under,logistic_regression,417,0.9976018798499835,0.95584685869459
random_over_under,decision_tree,41,1.0,0.3333306458114972
random_over_under,decision_tree,83,1.0,0.3333306458114972
random_over_under,decision_tree,125,1.0,0.3333306458114972
random_over_under,decision_tree,166,1.0,0.3333306458114972
random_over_under,decision_tree,208,1.0,0.3333306458114972
random_over_under,decision_tree,250,0.6881780496970802,0.8199220207132711
random_over_under,decision_tree,291,0.7043495576276874,0.7560958904013185
random_over_under,decision_tree,333,0.7569998382123133,0.7791234704883283
random_over_under,decision_tree,375,0.7985467312264343,0.7898978224202611
random_over_under,decision_tree,417,0.8342535431527599,0.8236459923239139
random_over_under,knn,41,1.0,0.3333306458114972
random_over_under,knn,83,1.0,0.3333306458114972
random_over_under,knn,125,1.0,0.3333306458114972
random_over_under,knn,166,1.0,0.3333306458114972
random_over_under,knn,208,1.0,0.3333306458114972
random_over_under,knn,250,0.6153318906900195,0.3929901716796114
random_over_under,knn,291,0.6050841884540463,0.4083965061192026
random_over_under,knn,333,0.7368132873538948,0.5164243823906314
random_over_under,knn,375,0.8514071920422225,0.6382616114775967
random_over_under,knn,417,0.8809257515866893,0.7074807516857836
random_over_under,svm,41,,
random_over_under,svm,83,,
random_over_under,svm,125,,
random_over_under,svm,166,,
random_over_under,svm,208,,
random_over_under,svm,250,1.0,0.9749861777474631
random_over_under,svm,291,1.0,0.9846207028861901
random_over_under,svm,333,0.9974280200685739,0.984611067603853
random_over_under,svm,375,0.9967553055996348,0.9845915074808478
random_over_under,svm,417,0.9932848917402938,0.9845915074808478
adasyn_nearmiss,random_forest,41,1.0,0.3333333333333333
adasyn_nearmiss,random_forest,83,1.0,0.3333333333333333
adasyn_nearmiss,random_forest,124,1.0,0.3333333333333333
adasyn_nearmiss,random_forest,166,1.0,0.3333333333333333
adasyn_nearmiss,random_forest,208,1.0,0.3333333333333333
adasyn_nearmiss,random_forest,249,0.9477105531937109,0.7121419333799652
adasyn_nearmiss,random_forest,291,0.9346340235259977,0.8174102890900053
adasyn_nearmiss,random_forest,332,0.9284268137877977,0.8634951450952073
adasyn_nearmiss,random_forest,374,0.8889486173119406,0.8434804896317033
adasyn_nearmiss,random_forest,416,0.8839145116677771,0.8379151280298858
adasyn_nearmiss,logistic_regression,41,,
adasyn_nearmiss,logistic_regression,83,,
adasyn_nearmiss,logistic_regression,124,,
adasyn_nearmiss,logistic_regression,166,,
adasyn_nearmiss,logistic_regression,208,,
