Feature,Importance
Animal_cattle,0.06382434049379729
symptoms1_neck paralysis,0.06204597150745659
Species_buffaloes,0.058138987892128166
symptoms3_ruffled feathers,0.03668343068950541
Species_sheep,0.03590961910166903
symptoms1_weakness,0.03311575029428524
symptoms5_weakness,0.030240778336498058
symptoms1_drooping wings,0.027934904453754197
symptoms3_slow growth,0.02603648013887007
symptoms5_lesion,0.02599096233465461
symptoms2_hepatitis,0.025580103373699748
Animal_caprine,0.023473349783684212
symptoms3_skin rashes,0.021341393731125962
Species_unknown,0.0211111167951522
symptoms2_yellow or green dropping,0.020700949528502436
Species_chicken,0.02048750336711449
symptoms4_labored breathing,0.020298522429002545
symptoms3_diarrhea,0.02023474816022448
symptoms3_high moratality,0.020052360641481477
symptoms4_diarrhea,0.01805827625627213
Species_fowl,0.01748302274937126
Animal_poultry,0.017197475720926725
symptoms1_severe swellimg,0.016167567993830245
symptoms2_heavy breathing,0.015928049465564115
symptoms2_loss of appetite,0.014283469231624723
symptoms4_wattles,0.014217134496841281
Animal_pig,0.01344891107101879
symptoms1_dejection,0.012703094489319914
symptoms3_paralyzed leg,0.011910219215644948
Species_duck,0.01142336973767267
symptoms3_purplish combs,0.011382485036509368
symptoms5_greenish diarrhea,0.01072614157220504
Animal_other birds,0.010581011097079266
Animal_monkey,0.010554988782324288
Animal_deer,0.00969087240097207
symptoms2_diarrhea,0.008850008196142673
AnimalGroup_bird,0.008505922398708721
symptoms3_vomiting,0.008271187973041622
symptoms5_drop on egg production,0.007866512983247122
symptoms2_loss of  appetite,0.00768144078747508
symptoms2_depression,0.007300860144427688
symptoms5_nasal discharge,0.00694828064741557
symptoms1_loss of appetite,0.006798256459276798
symptoms5_pain,0.006459029291157005
symptoms2_lacrimation,0.0061776741441680666
symptoms5_weight loss,0.005546612084198494
symptoms1_fever,0.005533081205216812
AnimalGroup_mammal,0.005185870785093404
symptoms1_sneezing,0.005001869977728071
symptoms4_coughing,0.004965036172217936
symptoms4_difficulty in breathing,0.004701779301456971
symptoms5_urination problem,0.004156718427430242
symptoms3_loss of appetite,0.003929386146241379
symptoms4_weakness,0.0038038327041443965
symptoms5_vomitting,0.0037476029592602893
Species_lion,0.0035915126353829874
symptoms5_depression,0.0028029751347146735
Species_donkey,0.002730839010755933
symptoms4_muscle aches,0.002701200124605993
Animal_equine,0.0025391950123773766
symptoms5_anemia,0.0024466941576288498
symptoms4_anorexia,0.002292827099219438
symptoms2_stumbling,0.002220826086912816
symptoms2_epistaxis,0.002084574847893355
symptoms4_weight loss,0.0019305185450431814
Animal_rabbit,0.0017545905916122229
symptoms3_coughing,0.001742696639763626
symptoms3_blindness,0.001639896886773735
symptoms4_lethargy,0.0015771812866977957
symptoms1_cough,0.0015771495435404847
Animal_elephant,0.001544693681616867
symptoms1_facial swelling,0.0014118541009857906
symptoms5_anorexia,0.0014077945162030336
symptoms4_loss of appetite,0.0014020433103005402
symptoms4_green dropping,0.0012146920049146115
Species_goat,0.001209774222897584
symptoms5_pains,0.0011997399380406285
symptoms1_sudden death,0.0011812646853671107
symptoms1_tenderness,0.0011788617886178733
symptoms5_death,0.0010641361597421577
symptoms5_diarrhea,0.001013097325486155
Animal_big cat,0.0009012683206834879
symptoms4_death,0.0008825889467180808
symptoms1_lethargy,0.0008487952396010437
symptoms5_neurologic abnormalities,0.0008239445035696128
symptoms1_swelling,0.0008079258747318767
symptoms1_nasal discharge,0.000742776089768713
symptoms5_fatique,0.0007336956974732465
symptoms4_deability,0.0007098310768567492
symptoms3_nasal discharge,0.000707845862438101
symptoms5_limping,0.0006822817353027721
symptoms1_jaundice,0.0006786290265259427
symptoms4_bloody discharge,0.0006349266573525778
symptoms2_dyspnea,0.0006224549450155708
Animal_cat,0.0006219014453568299
symptoms4_mucus discharge from the eye,0.0005739222427929217
symptoms3_difficulty breating,0.0005738197115470536
symptoms3_weakness,0.0005698618411975779
symptoms1_stripped remiges,0.0005643133791331574
symptoms2_circling,0.0005282831095139853
symptoms5_sudden death,0.0005131129303975737
symptoms1_swollen,0.0005125620101831734
symptoms3_constipation,0.0004992978783136089
symptoms3_listlessness,0.0004862094931396092
symptoms1_bluish white opacity,0.0004659832245718423
symptoms1_excess salivation,0.0004118123891265664
symptoms2_decreased stool production,0.0004032332858458836
symptoms1_air sacculitis,0.00040224321310059673
symptoms3_yellow eye,0.00038829496307810595
symptoms4_nasal discharge,0.0003779976903115825
symptoms1_mortality,0.00037496229265891994
symptoms4_lameness,0.00035971038011442844
symptoms2_pneumonia,0.00033040051663277753
Animal_dog,0.0003120994469758262
symptoms4_pot belly,0.00030551836600559965
symptoms4_difficult in walking,0.00025972341852499174
symptoms3_dilation of duodenum,0.0002472631332418362
symptoms3_lack of appetite,0.00024051361303473155
symptoms3_dehydration,0.00021737382611737525
symptoms2_nervousness,0.00021523917151944818
symptoms2_rough coat,0.0002032574178925757
symptoms5_sneezing,0.00019839618944690412
symptoms2_dull ness,0.00018739509391655246
symptoms1_passing of undigested food,0.00018104495126329868
symptoms2_enlarged lymph nodes,0.00016940529496532023
symptoms4_sneezing,0.00015115975258440736
symptoms2_less feather growth,0.0001471805751807292
symptoms1_dark or black face,0.00011180987812428836
symptoms2_kick,9.478001565724209e-05
symptoms1_tremor,6.938422219082849e-05
symptoms2_difficulty in breathing,5.444339241324849e-05
symptoms2_rapid breathing,5.017177296478115e-05
symptoms4_discharge from eye,0.0
symptoms4_flaky,0.0
symptoms4_excessive production,0.0
symptoms4_exercise in tolerance,0.0
symptoms4_exhaustion,0.0
symptoms4_experiencing changes in weight,0.0
symptoms3_lathargy,0.0
symptoms4_eye and skin change,0.0
symptoms4_facial edema,0.0
symptoms4_firm,0.0
symptoms4_milk getting out more watery,0.0
symptoms4_excess sleeping,0.0
symptoms3_mucous discharge,0.0
symptoms3_muscus,0.0
symptoms4_mammary glads,0.0
symptoms4_flat ribs,0.0
symptoms4_flatulence,0.0
symptoms4_fluffed feathers,0.0
symptoms4_foul smelling stools,0.0
symptoms4_lying down,0.0
symptoms4_excessive food intake,0.0
symptoms4_enteritis,0.0
symptoms4_distinctive bumps,0.0
symptoms4_easily damage shell,0.0
symptoms4_milky hard,0.0
symptoms4_drooling,0.0
symptoms4_droopy wings,0.0
symptoms4_dry scabs,0.0
symptoms4_dyspnea,0.0
symptoms3_muscles ache,0.0
symptoms3_muscle weakness,0.0
symptoms3_muscles problem,0.0
symptoms3_muscle twiching,0.0
symptoms4_enlarged skulls,0.0
symptoms4_edematous,0.0
symptoms4_difficulty swallowing,0.0
symptoms4_difficulty in walk,0.0
symptoms4_mortality,0.0
symptoms4_frequent yawning,0.0
symptoms3_muscular stiffness,0.0
symptoms3_muscle trembling,0.0
symptoms4_endomeritis,0.0
symptoms4_loss of alertness,0.0
symptoms4_lumps,0.0
symptoms4_gas or bloating,0.0
symptoms4_gasping for air,0.0
symptoms4_inability to fly,0.0
symptoms4_inappentence,0.0
symptoms3_lethargy,0.0
symptoms4_infected navels,0.0
symptoms4_inflammation of eye,0.0
symptoms3_malpresentation,0.0
symptoms3_lying down,0.0
symptoms4_iris prolapse,0.0
symptoms4_irritation,0.0
symptoms4_itching,0.0
symptoms4_jaw is dropped,0.0
symptoms3_loss of wool,0.0
symptoms4_jerky limb movements,0.0
symptoms4_join pains,0.0
symptoms3_loss of tail tone,0.0
symptoms3_los of the ability to walk,0.0
symptoms4_lameness in affected leg,0.0
symptoms4_lesion,0.0
symptoms3_loss of pigment,0.0
symptoms4_limp,0.0
symptoms4_lip,0.0
symptoms4_inability of swalllon feeding,0.0
symptoms3_mild weakness,0.0
symptoms3_moist,0.0
symptoms3_lession on the skin,0.0
symptoms4_gasping for breath,0.0
symptoms3_mortality,0.0
symptoms4_liver disease,0.0
symptoms4_grinding teeth,0.0
symptoms4_gurgling sound,0.0
symptoms4_hair loss,0.0
symptoms4_hairy fleeces,0.0
symptoms4_half-closed eye,0.0
symptoms4_head ache,0.0
symptoms4_head pressing,0.0
symptoms4_immediate death,0.0
symptoms4_heat,0.0
symptoms4_loss of powder down,0.0
symptoms4_hematuria,0.0
symptoms4_high body temperature,0.0
symptoms4_hoarseness,0.0
symptoms4_hock joint,0.0
symptoms4_hyper sensitivity,0.0
symptoms4_loss of milk production,0.0
symptoms4_hyperesthesia,0.0
symptoms4_heavy breathing,0.0
