AnimalGroup,Animal,Species,symptoms1,symptoms2,symptoms3,symptoms4,symptoms5,Dangerous,symptoms1_cluster,symptoms1_corrected,symptoms1_canonical,symptoms2_cluster,symptoms2_corrected,symptoms2_canonical,symptoms3_cluster,symptoms3_corrected,symptoms3_canonical,symptoms4_cluster,symptoms4_corrected,symptoms4_canonical,symptoms5_cluster,symptoms5_corrected,symptoms5_canonical
mammal,canid,dog,fever,diarrhea,vomiting,weight loss,dehydration,yes,175,fever,fever,17,diarrhoea,diarrhea,268,vomiting,vomit,185,weight loss,weight loss,35,dehydration,dehydration
mammal,canid,dog,fever,diarrhea,coughing,tiredness,pains,yes,175,fever,fever,17,diarrhoea,diarrhea,86,coughing,cough,413,tiredness,fatigue,394,pains,striving
mammal,canid,dog,fever,diarrhea,coughing,vomiting,anorexia,yes,175,fever,fever,17,diarrhoea,diarrhea,86,coughing,cough,268,vomiting,vomit,56,anorexia,anorexia
mammal,canid,dog,fever,difficulty breathing,coughing,lethargy,sneezing,yes,175,fever,fever,9,difficulty breathing,difficulty breathing,86,coughing,cough,312,lethargy,lethargy,49,sneezing,sneeze
mammal,canid,dog,fever,diarrhea,coughing,lethargy,blue eye,yes,175,fever,fever,17,diarrhoea,diarrhea,86,coughing,cough,312,lethargy,lethargy,62,blue eye,blue eye
mammal,canid,dog,fever,respiratory distress,seizuers,hyperesthesia,sudden death,yes,175,fever,fever,32,respiratory distress,respiratory distress,60,seizures,seizure,324,hyper thesis,hyper thesis,25,sudden death,sudden death
mammal,canid,dog,ulcers,diarrhea,poor appetite,tarry stool,enlarged lymph nodes,yes,257,ulcers,ulcer,17,diarrhoea,diarrhea,4,poor appetite,poor appetite,5,tarry stool,tarry stool,346,enlarged lymph nodes,enlarged lymph nodes
mammal,canid,dog,facial swelling,bloody drool,foul breath,unable to eat,lossened teeth,yes,7,facial swelling,facial swelling,419,bloody drool,bloody drool,172,foul breath,foul breath,2,unable to eat,unable to eat,411,lessened teeth,lessened teeth
mammal,canid,dog,fever,difficulty breathing,thrist and urination,weight loss,enlarged lymph nodes or swelling,yes,175,fever,fever,9,difficulty breathing,difficulty breathing,304,christ and urination,christ and urination,185,weight loss,weight loss,346,enlarged lymph nodes or swelling,enlarged lymph nodes or swelling
mammal,canid,dog,swelling on leg,painfull,nasal discharge,broken bones,nasal discharge,yes,7,swelling on leg,swelling on leg,95,painful,painful,102,nasal discharge,nasal discharge,230,broken bones,broken bones,102,nasal discharge,nasal discharge
mammal,canid,dog,short term lethargy,loss of appetite,weekness in the back legs,rapid heart rate,week pulse,yes,312,short term lethargy,short term lethargy,4,loss of appetite,loss of appetite,71,weakness in the back legs,weakness in the back legs,138,rapid heart rate,rapid heart rate,130,week pulse,week pulse
mammal,canid,dog,swollen lymph nodes,difficulty walking,back pain,lethargy,vaginal discharge,yes,346,swollen lymph nodes,swollen lymph nodes,90,difficulty walking,difficulty walking,82,back pain,back pain,312,lethargy,lethargy,102,vaginal discharge,vaginal discharge
mammal,canid,dog,fever,diarrhea,abdominal pain,stiffness,severe weekness and depression,yes,175,fever,fever,17,diarrhoea,diarrhea,149,abdominal pain,abdominal pain,140,stiffness,stiffness,46,severe weakness and depression,severe weakness and depression
mammal,canid,dog,fever,loss of appetite,reduce energy,lameness,swelling of joints,yes,175,fever,fever,4,loss of appetite,loss of appetite,386,reduce energy,reduce energy,51,lameness,lameness,7,swelling of joints,swelling of joints
mammal,canid,dog,fever,chronic eye inflamation,poor appetite,lethargy,neurologic abnormalities,yes,175,fever,fever,1,chronic eye inflammation,chronic eye inflammation,4,poor appetite,poor appetite,312,lethargy,lethargy,79,neurologic abnormalities,neurologic abnormalities
mammal,canid,dog,fever,swelling of face or leg,poor appetite,depression,pains,yes,175,fever,fever,7,swelling of face or leg,swelling of face or leg,4,poor appetite,poor appetite,43,depression,depression,394,pains,striving
mammal,canid,dog,diarrhea with muscus,tensemus,watery stool,flatulence,pains,yes,17,diarrhoea with mucus,diarrhoea with mucus,289,tense us,tense us,5,watery stool,watery stool,59,flatulence,flatulence,394,pains,striving
mammal,canid,dog,strong cough,runny nose,sneezing,lethargy,loss of appettite,yes,86,strong cough,strong cough,370,runny nose,runny nose,49,sneezing,sneeze,312,lethargy,lethargy,4,loss of appetite,loss of appetite
mammal,canid,dog,fever,inflammed eye,coughing,depression,limping,yes,175,fever,fever,1,inflamed eye,inflamed eye,86,coughing,cough,43,depression,depression,51,limping,lameness
mammal,canid,dog,fever,difficulty breathing,coughing,eye and skin change,unable to exercise,yes,175,fever,fever,9,difficulty breathing,difficulty breathing,86,coughing,cough,101,eye and skin change,eye and skin change,111,unable to exercise,unable to exercise
mammal,canid,dog,fever,loss of appetite,coughing,lethargy,joint pain,yes,175,fever,fever,4,loss of appetite,loss of appetite,86,coughing,cough,312,lethargy,lethargy,80,joint pain,joint pain
mammal,canid,dog,lesions in the nasal cavity,lesions on nose,nose bleeds,noisy breathing,lesions on nose,yes,39,lesions in the nasal cavity,lesions in the nasal cavity,39,lesions on nose,lesions on nose,152,nose bleeds,nose bleeds,100,noisy breathing,noisy breathing,39,lesions on nose,lesions on nose
mammal,canid,dog,hair loss,dandruff,darkened skin,crusting of the skin,ulcerated skin,yes,403,hair loss,hair loss,112,dandruff,dandruff,77,darkened skin,darkened skin,110,crusting of the skin,crusting of the skin,257,ulcerated skin,ulcerated skin
mammal,canid,dog,greenish yellow nasal discharge,lack of pigmentation,sneezing,lethargy,pain on face,yes,102,greenish yellow nasal discharge,greenish yellow nasal discharge,68,lack of pigmentation,lack of pigmentation,49,sneezing,sneeze,312,lethargy,lethargy,378,pain on face,pain on face
mammal,canid,dog,fever,diarrhea,poor appetite,weight loss,vomitting,yes,175,fever,fever,17,diarrhoea,diarrhea,4,poor appetite,poor appetite,185,weight loss,weight loss,268,vomiting,vomit
mammal,canid,dog,jaundice,pneumonia,lession on the skin,pain,vomitting,yes,236,jaundice,jaundice,213,pneumonia,pneumonia,145,session on the skin,session on the skin,95,pain,pain,268,vomiting,vomit
mammal,canid,dog,poor coat apperence,diarrhea,vomiting,weight loss,dehydration,yes,217,poor coat appearance,poor coat appearance,17,diarrhoea,diarrhea,268,vomiting,vomit,185,weight loss,weight loss,35,dehydration,dehydration
mammal,canid,dog,watering,no appp,vomiting,lethargy,dehydration,yes,418,watering,lacrimation,272,no app,no app,268,vomiting,vomit,312,lethargy,lethargy,35,dehydration,dehydration
mammal,canid,dog,straining,diarrhea,vomiting,weight loss,blindness,yes,271,straining,strain,17,diarrhoea,diarrhea,268,vomiting,vomit,185,weight loss,weight loss,184,blindness,blindness
mammal,canid,dog,upset stomach,diarrhea,vomiting,muscle pain,muscle stiffness,yes,41,upset stomach,upset stomach,17,diarrhoea,diarrhea,268,vomiting,vomit,38,muscle pain,muscle pain,140,muscle stiffness,muscle stiffness
mammal,canid,dog,upset stomach,diarrhea,coughing,weight loss,anaemia,yes,41,upset stomach,upset stomach,17,diarrhoea,diarrhea,86,coughing,cough,185,weight loss,weight loss,422,anaemia,anemia
mammal,canid,dog,allergic reaction,poor appetite,coughing,weight loss,distended chest,yes,368,allergic reaction,allergic reaction,4,poor appetite,poor appetite,86,coughing,cough,185,weight loss,weight loss,153,distended chest,distended chest
mammal,canid,dog,fever,anoxeria,weight loss,lethargy,pain,yes,175,fever,fever,56,anorexia,anorexia,185,weight loss,weight loss,312,lethargy,lethargy,95,pain,pain
mammal,canid,dog,limping,willnot run to jump,swelling,week legs,pain on leg,yes,51,limping,lameness,157,will not run to jump,will not run to jump,7,swelling,swelling,31,week legs,week legs,143,pain on leg,pain on leg
mammal,cat-like,cat,fever,eye ulcer,congestion,depression,pink eye,yes,175,fever,fever,1,eye ulcer,eye ulcer,307,congestion,congestion,43,depression,depression,62,pink eye,pink eye
mammal,cat-like,cat,pnemonia,loss of appetite,eye disharge,lameness,arthritis,yes,213,pneumonia,pneumonia,4,loss of appetite,loss of appetite,105,eye discharge,eye discharge,51,lameness,lameness,55,arthritis,arthritis
mammal,cat-like,cat,fever,seizures,hydrophobia,jaw is dropped,shyness or aggression,yes,175,fever,fever,60,seizures,seizure,404,hydrophobia,hydrophobia,425,jaw is dropped,jaw is dropped,437,shyness or aggression,shyness or aggression
