Feature,Importance
AnimalName_Chicken,0.5313703968967626
AnimalName_Buffaloes,0.4686296031032374
AnimalName_Birds,0.0
symptoms4_Defienciency in vitamin,0.0
symptoms4_Difficulty in breathing,0.0
symptoms4_Difficulty in Walk,0.0
symptoms4_Difficult in walking,0.0
symptoms4_Diarrhea,0.0
symptoms4_Depression,0.0
symptoms4_Dehydration,0.0
symptoms4_Death of lamb,0.0
symptoms4_Decresed egg production,0.0
symptoms4_Distinctive bumps,0.0
symptoms4_Death,0.0
symptoms4_Deability,0.0
symptoms4_Crusting of the skin,0.0
symptoms4_Cramps,0.0
symptoms4_Coughing,0.0
symptoms4_Discharge from eye,0.0
symptoms4_Dyspnea,0.0
symptoms4_Dry Scabs,0.0
symptoms4_Excessive production,0.0
symptoms4_Flaky,0.0
symptoms4_Firm,0.0
symptoms4_Facial edema,0.0
symptoms4_Eye and Skin change,0.0
symptoms4_Exhaustion,0.0
symptoms4_Exercise in tolerance,0.0
symptoms4_Excessive food intake,0.0
symptoms4_Consistency of milk,0.0
symptoms4_Excess sleeping,0.0
symptoms4_Enteritis,0.0
symptoms4_Enlarged skulls,0.0
symptoms4_Endomeritis,0.0
symptoms4_Edematous,0.0
symptoms4_Easily damage shell,0.0
symptoms4_Cornea become cloudy,0.0
symptoms4_Clouded cornea,0.0
symptoms4_Colic,0.0
symptoms3_weak calves,0.0
symptoms4_Acting aggressive,0.0
symptoms4_Abortion,0.0
symptoms4_Abdominal discomfort,0.0
symptoms3_ rapid heartbeats,0.0
symptoms3_wheezing,0.0
symptoms3_weakness,0.0
symptoms3_thirst,0.0
symptoms4_Animal stop feed,0.0
symptoms3_swollen teats,0.0
symptoms3_swollen purple wattle,0.0
symptoms3_ruffled feathers,0.0
symptoms3_respiratory noise,0.0
symptoms3_reduced appetite,0.0
symptoms3_rapid pulse and heart rates,0.0
symptoms4_Aneamia,0.0
symptoms4_Anorexia,0.0
symptoms4_Flatulence,0.0
symptoms4_Blood in faces,0.0
symptoms4_Closed eyes,0.0
symptoms4_Cloacal pasting,0.0
symptoms4_Circling,0.0
symptoms4_Chest Pain,0.0
