undersampler,model,train_size,train_f1,valid_f1
random_undersampling,random_forest,2,1.0,0.33095238095238094
random_undersampling,random_forest,4,1.0,0.33095238095238094
random_undersampling,random_forest,6,1.0,0.33095238095238094
random_undersampling,random_forest,8,1.0,0.33095238095238094
random_undersampling,random_forest,10,1.0,0.33095238095238094
random_undersampling,random_forest,12,0.46403162055335967,0.33095238095238094
random_undersampling,random_forest,14,0.426,0.33095238095238094
random_undersampling,random_forest,16,0.39373219373219376,0.33095238095238094
random_undersampling,random_forest,18,0.36600985221674875,0.33095238095238094
random_undersampling,random_forest,20,0.3419354838709678,0.33095238095238094
random_undersampling,logistic_regression,2,,
random_undersampling,logistic_regression,4,,
random_undersampling,logistic_regression,6,,
random_undersampling,logistic_regression,8,,
random_undersampling,logistic_regression,10,,
random_undersampling,logistic_regression,12,1.0,0.33095238095238094
random_undersampling,logistic_regression,14,1.0,0.33095238095238094
random_undersampling,logistic_regression,16,1.0,0.38928571428571423
random_undersampling,logistic_regression,18,1.0,0.4666666666666666
random_undersampling,logistic_regression,20,1.0,0.6373809523809524
random_undersampling,decision_tree,2,1.0,0.33095238095238094
random_undersampling,decision_tree,4,1.0,0.33095238095238094
random_undersampling,decision_tree,6,1.0,0.33095238095238094
random_undersampling,decision_tree,8,1.0,0.33095238095238094
random_undersampling,decision_tree,10,1.0,0.33095238095238094
random_undersampling,decision_tree,12,0.11648351648351647,0.33095238095238094
random_undersampling,decision_tree,14,0.426,0.33095238095238094
random_undersampling,decision_tree,16,0.39373219373219376,0.33095238095238094
random_undersampling,decision_tree,18,0.36600985221674875,0.33095238095238094
random_undersampling,decision_tree,20,0.6432757057757058,0.5095238095238095
tomek_links,random_forest,44,1.0,0.49408462609107245
tomek_links,random_forest,88,0.5632249209829437,0.49408462609107245
tomek_links,random_forest,133,0.6432474608415346,0.49408462609107245
tomek_links,random_forest,177,0.6643907018907018,0.49408462609107245
tomek_links,random_forest,222,0.6877293224504227,0.5445370579121106
tomek_links,random_forest,266,0.7388131133424011,0.5445370579121106
tomek_links,random_forest,310,0.8330831438510146,0.5949894897331487
tomek_links,random_forest,355,0.8410629827862033,0.6278367775615482
tomek_links,random_forest,399,0.8184704986749471,0.6340424816918799
tomek_links,random_forest,444,0.8891377072673109,0.6516395123509573
tomek_links,logistic_regression,44,,
tomek_links,logistic_regression,88,1.0,0.5612037626622639
tomek_links,logistic_regression,133,1.0,0.5949937170001635
tomek_links,logistic_regression,177,1.0,0.5949937170001635
tomek_links,logistic_regression,222,1.0,0.6454461488212015
tomek_links,logistic_regression,266,1.0,0.6454461488212015
tomek_links,logistic_regression,310,1.0,0.6958985806422396
tomek_links,logistic_regression,355,1.0,0.6958985806422396
tomek_links,logistic_regression,399,1.0,0.6958985806422396
tomek_links,logistic_regression,444,1.0,0.7768035574960701
tomek_links,decision_tree,44,1.0,0.49408462609107245
tomek_links,decision_tree,88,1.0,0.611656194483302
tomek_links,decision_tree,133,0.6637416558415861,0.5086518496136605
tomek_links,decision_tree,177,0.6531194393813126,0.5113973179263827
tomek_links,decision_tree,222,0.5765738736044232,0.5276658859596566
tomek_links,decision_tree,266,0.648573375924153,0.5769650247166292
tomek_links,decision_tree,310,0.5791826365704684,0.5486670666318686
tomek_links,decision_tree,355,0.5988181474841274,0.5561286936016949
tomek_links,decision_tree,399,0.5771104035779661,0.5550126512985063
tomek_links,decision_tree,444,0.5733396428381354,0.5805811694648119
nearmiss,random_forest,2,1.0,0.33095238095238094
nearmiss,random_forest,4,1.0,0.33095238095238094
nearmiss,random_forest,6,1.0,0.33095238095238094
nearmiss,random_forest,8,1.0,0.33095238095238094
nearmiss,random_forest,10,1.0,0.33095238095238094
nearmiss,random_forest,12,0.46403162055335967,0.33095238095238094
nearmiss,random_forest,14,0.426,0.33095238095238094
nearmiss,random_forest,16,0.39373219373219376,0.33095238095238094
nearmiss,random_forest,18,0.36600985221674875,0.33095238095238094
nearmiss,random_forest,20,0.3419354838709678,0.33095238095238094
nearmiss,logistic_regression,2,,
nearmiss,logistic_regression,4,,
nearmiss,logistic_regression,6,,
nearmiss,logistic_regression,8,,
nearmiss,logistic_regression,10,,
nearmiss,logistic_regression,12,1.0,0.5273809523809524
nearmiss,logistic_regression,14,0.983625730994152,0.6047619047619047
nearmiss,logistic_regression,16,0.9870445344129555,0.7457142857142856
nearmiss,logistic_regression,18,0.9777089783281735,0.7190476190476189
nearmiss,logistic_regression,20,0.9699248120300752,0.7216666666666667
nearmiss,decision_tree,2,1.0,0.33095238095238094
nearmiss,decision_tree,4,1.0,0.33095238095238094
nearmiss,decision_tree,6,1.0,0.33095238095238094
nearmiss,decision_tree,8,1.0,0.33095238095238094
nearmiss,decision_tree,10,1.0,0.33095238095238094
nearmiss,decision_tree,12,0.11648351648351647,0.33095238095238094
nearmiss,decision_tree,14,0.426,0.33095238095238094
nearmiss,decision_tree,16,0.39373219373219376,0.33095238095238094
nearmiss,decision_tree,18,0.36600985221674875,0.33095238095238094
nearmiss,decision_tree,20,0.7831826652879285,0.6199999999999999
